School,TO?,Applies to Class Year(s),Policy Details,Number of Applicants,Accept Rate,SAT Total 25th–75th Percentile,ACT Total 25th–75th Percentile
Colorado School of Mines,Yes,All / Permanent Policy,"Mines offers a test optional policy, which allows students to apply for admission without SAT or ACT scores.",12022,56.88%,1320–1460,29–33
Rhodes College,Yes,"2021, 2022, 2023","Rhodes College has adopted a three-year, test optional policy for all first-year applicants beginning with the 2020-21 admission cycle. After a three-year pilot period, Rhodes will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.",5318,56.88%,1320–1450,28–32
Ohio State University—Columbus,Yes,"2021, 2022, 2023",OSU has extended their temporary test optional policy to Fall 2023.,58180,57.18%,1260–1420,26–32
New School,Yes,All / Permanent Policy,"The New School offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores.",9413,57.41%,1150–1380,25–30
Hampden-Sydney College,Yes,"2021, 2022",Hampden-Sydney College has extended their temporary test optional policy to the Fall 2022 semester.,3056,57.43%,1060–1320,20–27
Lake Forest College,Yes,All / Permanent Policy,"Lake Forest College has a test-optional policy, which allows students to be considered for admission without submitting SAT or ACT scores. Test optional applicants must complete an interview. Homeschooled students are not eligible for test optional admission.",4482,57.61%,1100–1275,23–30
Pennsylvania State University—University Park,Yes,"2021, 2022, 2023, 2024, 2025",Penn State has extended their temporary test optional policy to the Fall 2025 term.,78578,57.61%,1200–1400,26–32
Morehouse College,Yes,"2021, 2022",Morehouse has extended their temporary test optional policy to the 2021–22 admissions cycle.,3554,57.88%,1010–1210,20–25
California State University—Fresno,Yes (TF),All / Permanent Policy,"The Cal State system offers a test free policy, meaning they will not consider SAT or ACT scores in the admissions process.",18122,57.94%,950–1130,16–22
Providence College,Yes,All / Permanent Policy,"Providence College offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores.",11129,57.98%,1120–1315,26–31
Saint Louis University,Yes,All / Permanent Policy,"Saint Louis University offers a test optional policy, which allows students to be considered for admission without SAT/ACT scores.",15573,58.28%,1170–1380,25–30
Fordham University,Yes,"2021, 2022, 2023, 2024",Fordham University has extended their temporary test optional policy to Fall 2024 admissions.,46275,58.3%,1320–1450,30–33
Whitman College,Yes,All / Permanent Policy,"Whitman College offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. However, international and homeschooled students are strongly encouraged to submit SAT or ACT scores.",5274,58.68%,1275–1415,29–33
University of California—Santa Cruz,Yes (TF),All / Permanent Policy,"The UC system offers a test free policy, meaning they will not consider SAT/ACT scores when making admissions decisions or awarding scholarships.",61822,58.9%,—,—
Brigham Young University—Provo,Yes,"2021, 2022, 2023",BYU has extended their temporary test optional policy to the 2022–23 admission cycle.,11608,59.18%,1230–1420,26–32
Texas Lutheran University,Yes,"2021, 2022",TLU has extended their temporary test optional policy to the Fall 2022 semester.,2683,59.3%,1018–1160,19–24
California State University—Fullerton,Yes (TF),All / Permanent Policy,"The Cal State system offers a test free policy, meaning they will not consider SAT or ACT scores in the admissions process.",45140,59.43%,935–1160,16–25
Texas A&M University—College Station,Yes,"2021, 2022, 2023",Texas A&M has extended their temporary test optional policy to Fall 2023.,44110,59.59%,1160–1370,25–31
University of Illinois—Urbana-Champaign,Yes,All / Permanent Policy,"University of Illinois—Urbana-Champaign offers a test optional oplicy, which allows students to apply for admission without SAT/ACT scores.",47593,59.66%,1340–1510,29–34
St. John's College—Annapolis,Yes,All / Permanent Policy,"St. John's College offers a test optional policy, which allows students to be considered for admissions without SAT or ACT scores. However, homeschooled students and students who will not earn high school diplomas are not eligible for test optional admission. Most international students are not eligible for test optional admission.",909,59.85%,1200–1420,26–32
Bennington College,Yes,All / Permanent Policy,"Bennington has a test-optional policy, which allows students to be considered for admission without submitting SAT or ACT scores.",1382,59.99%,1240–1360,25–31
Worcester Polytechnic Institute,Yes (TF),"2022, 2023, 2024, 2025, 2026, 2027, 2028, 2029","WPI has adopted an eight year test free policy, which means the university does not accept scores in the application process, beginning with the Fall 2021 application cycle.",11092,60.21%,—,—
Sewanee: University of the South,Yes,All / Permanent Policy,"Sewanee—The University of the South offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. However, homeschooled students are not eligible for test optional admission.",4162,60.26%,1210–1380,26–31
University of Wisconsin—Madison,Yes,"2021, 2022, 2023, 2024",The University of Wisiconsin—Madison has extended its temporary test optional policy to the 2024–25 admission cycle.,53829,60.31%,1350–1480,28–32
Chapman University,Yes,All / Permanent Policy,"Chapman offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. However, homeschooled students and students who graduate from schools without traditional grades are not eligible for test optional admission.",15098,60.37%,1223–1400,26–31
Birmingham-Southern College,Yes,All / Permanent Policy,"Birmingham-Southern College offers a test optional policy, which allows applicants to be considered for admission without SAT or ACT scores. However, applicants who select test optional admission are required to have an interview with an admissions counselor.",2460,60.45%,1020–1390,22–28
Embry-Riddle Aeronautical University—Daytona Beach,Yes,All / Permanent Policy,"Embry-Riddle Aeronautical University offers a test optional policy, which allows most students to be considered for admission without SAT or ACT scores. Homeschooled students must provide SAT or ACT scores and show academic strength through AP Exams.",9581,60.6%,1130–1320,23–30
The College of Wooster,Yes,All / Permanent Policy,"The College of Wooster offers a test optional policy, which allows students to be considered for admissions without SAT or ACT scores.",6611,60.63%,1250–1410,26–32
Biola University,Yes,"2021, 2022",Biola University has extended their temporary test optional policy to the Fall 2022 semester.,4354,60.77%,1133–1340,22–29
Bentley University,Yes,"2021, 2022, 2023",Bentley University has extended their temporary test optional policy to the 2022–23 admission cycle.,9311,60.94%,1250–1400,29–32
SUNY College of Environmental Science and Forestry,Yes,All / Permanent Policy,"The SUNY system offers a test optional policy, which allows students to apply for admission without SAT or ACT scores.",2018,61.4%,1120–1310,23–29
Abilene Christian University,Yes,"2021, 2022","ACU has extended their temporary test optional policy to the 2021–22 admission cycle. However, only students who submit test scores will be considered for the honors college.",11379,61.48%,1015–1230,21–28
Lipscomb University,Yes,"2021, 2022",Lipscomb University has extended their temporary test optional policy to the Fall 2022 term.,3621,61.5%,1090–1290,22–29
University of South Carolina,Yes,"2021, 2022, 2023",The University of South Carolina has extended their temporary test optional policy through Fall 2023 admissions.,42045,61.56%,1150–1340,26–31
Wabash College,Yes,"2021, 2022, 2023",Wabash has extended their temporary test optional policy to the 2022–23 admission cycle.,1635,61.59%,1150–1325,23–29
Muhlenberg College,Yes,All / Permanent Policy,"Muhlenberg College offers a test optional policy, which allows students to be considered for admissions without SAT or ACT scores.",4543,62.18%,1170–1340,26–31
Luther College,Yes,"2021, 2022",Luther College has extended their temporary test optional policy to the 2021–22 admission cycle.,4108,62.27%,1040–1270,22–28
Truman State University,Yes,"2021, 2022, 2023",Truman State University has extended their temporary test optional policy to the Fall 2023 semester. Students applying to the nursing major must submit scores. Test scores are also required to be eligible for some scholarships or programs.,4595,62.61%,1150–1350,24–31
Wayne State University,Yes,"2021, 2022",WSU has extended their temporary test optional policy to the 2021–22 admission cycle.,15305,62.74%,1010–1220,21–28
Coe College,Yes*,All / Permanent Policy,"Coe College requires either the SAT or ACT, however, it will waive this requirement if you have a 3.0+ GPA. It does not require the optional ACT Writing Test.",7431,63.33%,1050–1255,21–27
University of Vermont,Yes,"2021, 2022, 2023",University of Vermont has extended their temporary test optional policy to the 2022-23 admission cycle.,25559,63.51%,1250–1400,29–33
University of Denver,Yes,All / Permanent Policy,"University of Denver offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. However, homeschooled students are not eligible for test optional admission.",22694,63.63%,1220–1370,27–31
Virginia Military Institute,Yes,"2021, 2022",VMI has extended their temporary test optional policy to the 2021–22 admission cycle.,1549,63.91%,1090–1260,22–27
American University,Yes,All / Permanent Policy,"American University offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores.",19650,64.09%,1290–1430,29–33
DePauw University,Yes,All / Permanent Policy,"DePauw University offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. However, homeschooled students and students who wish to apply for an Honor Scholar or Fellows program are not eligible for test optional admission.",5695,64.67%,1180–1400,24–31
University of New Mexico,Yes,All / Permanent Policy,"UNM offers a test optional policy, which allows students to be considered for admission without test scores. However, home-schooled and non-traditional students are not eligible for TO admission. Scores are also necessary for some scholarships.",14026,64.73%,—,20–26
Bard College,Yes,All / Permanent Policy,"Bard College offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores.",4912,64.76%,1234–1413,27–31
Furman University,Yes,All / Permanent Policy,"Furman University offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores.",5194,65.25%,1260–1382,28–32
Drury University,Yes,All / Permanent Policy,"Drury University offers a test optional policy, which allows domestic students to be considered for admission without SAT or ACT scores.",1949,65.42%,1070–1250,23–30
University of Houston,Yes*,All / Permanent Policy,"University of Houston requires the SAT or ACT. However, they will waive this requirement for students who rank in the top 10% of their class or have a 3.45+ GPA.",29721,65.52%,1160–1310,23–28
University of Massachusetts—Amherst,Yes,All / Permanent Policy,"UMass Amherst offers a test optional policy, which allows students to apply for admission without SAT or ACT scores.",42540,65.53%,1270–1450,28–33
University of California—Riverside,Yes (TF),All / Permanent Policy,"The UC system offers a test free policy, meaning they will not consider SAT/ACT scores when making admissions decisions or awarding scholarships.",52675,65.84%,—,—
New Jersey Institute of Technology,Yes,"2021, 2022",The New Jersey Institute of Technology has extended their temporary test optional policy to the 2021–22 admissions cycle.,10299,66.03%,1200–1370,25–31
Illinois Institute of Technology,Yes,"2021, 2022",Illinois Institute of Technology has extended their temporary test optional policy to the Fall 2022 semester.,6520,66.1%,1230–1400,26–32
Georgia State,Yes*,"2022, 2023, 2024","The University System of Georgia has announced that all institutions will resume test score admission requirements beginning with the Spring semester of 2022. Any student applying to a University System of Georgia school in 2022 and beyond will have to submit an SAT or ACT test score. However, students applying to Georgia State with a 3.4+ GPA may be considered without scores.",24457,66.65%,970–1150,20–26
University of Pittsburgh,Yes,"2021, 2022, 2023, 2024, 2025",Pitt has extended their temporary test optional policy to the 2024–25 admission cycle.,34656,66.68%,1250–1470,28–33
Milwaukee School of Engineering,Yes,"2021, 2022",MSOE has extended their temporary test optional policy to the 2021–22 admission cycle.,4522,66.72%,1190–1370,24–30
"Rutgers, The State University of New Jersey—New Brunswick",Yes,"2021, 2022, 2023, 2024",Rutgers has extended their temporary test optional policy to the 2023–24 admission cycle.,41263,66.93%,1180–1410,25–32
Ohio Wesleyan University,Yes,All / Permanent Policy,"Ohio Wesleyan University offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores.",4281,67.27%,1080–1330,22–28
Beloit College,Yes,All / Permanent Policy,"Beloit offers a test optional policy, which allows students to be considered for admissions without SAT or ACT scores.",3277,67.32%,1230–1380,24–28
Pratt Institute,Yes,"2021, 2022",Pratt has extended their temporary test optional policy to the Fall 2022 semester.,7896,67.34%,1190–1410,27–32
Yeshiva University,Yes*,All / Permanent Policy,"Yeshiva offers a test optional policy, which allows students to apply for regular admission without SAT/AC scores. However, honors applicants are required to submit scores.",1442,67.41%,1160–1410,24–31
Hobart and William Smith Colleges,Yes,All / Permanent Policy,"Hobart and William Smith Colleges offers a test optional policy, which allows students to be considered for admissions without SAT or ACT scores. However, homeschooled students are not eligible for test optional admission.",3772,67.5%,1170–1380,28–32
Stonehill College,Yes (TF),"2021, 2022",Stonehill College has has extended their temporary test free policy to the 2021–22 admission cycle.,6961,67.69%,1120–1290,24–28.5
Hofstra University,Yes,All / Permanent Policy,"Hofstra Univeristy offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. However, homeschooled students and international students are not eligible for test optional admission.",24886,67.76%,1180–1370,27–31
University of North Carolina—Wilmington,Yes,"2021, 2022, 2023, 2024",The UNC System has reinstated their temporary test optional policy through Fall 2024.,15792,67.98%,1220–1320,24–28
University at Albany—SUNY,Yes,All / Permanent Policy,"The SUNY system offers a test optional policy, which allows students to apply for admission without SAT or ACT scores.",21265,67.99%,1090–1280,22–29
Oklahoma State University,Yes,"2021, 2022","Oklahoma State University has extended their temporary test optional policy for students applying in the 2021-22 admission cycle. However, test scores are required for most university scholarships.",16939,68.36%,1045–1250,20–27
Concordia College—Moorhead,Yes,All / Permanent Policy,"Concordia College offers a test optional policy, which allows applicants to be considered for admission without SAT or ACT scores.",3395,68.37%,956–1343,21–27
Millsaps College,Yes,"2021, 2022",Millsaps College has extended their temporary test optional policy to the 2021–22 admission cycle.,5223,68.81%,1080–1290,21–26
Ball State,Yes,All / Permanent Policy,"Ball State University offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. However, homeschooled students and students whose high schools do not provide grades are not eligible for test optional admission.",24475,68.88%,—,—
Drake University,Yes,All / Permanent Policy,"Drake University offers a test optional policy, which it refers to as a ""test-flexible"" plan, which allows students to either write an essay or sit for an interview in lieu of submitting test scores. However, homeschooled students, as well as applicants to certain programs, are not eligible for test optional admission.",7932,69.05%,1190–1380,25–31
Earlham College,Yes,All / Permanent Policy,"Earlham offers a test optional policy, which allows students to be considered for admissions without SAT or ACT scores. However, international students and homeschooled students are not eligible for test optional admission.",1659,69.08%,1110–1320,26–30
Queens University of Charlotte,Yes,All / Permanent Policy,"Queens University of Charlotte offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores, though they encourage applicants to submit scores.",3503,69.2%,1070–1210,20–27
DePaul University,Yes,All / Permanent Policy,"DePaul University offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. However, homeschooled students and international students are not eligible for test optional admission.",32075,69.44%,1090–1290,—
Ripon College,Yes,All / Permanent Policy,"Ripon College offers a test optional policy, which allows applicants to be considered for admission without SAT or ACT scores. However, homeschooled students are not eligible for test optional admission.",2900,69.52%,990–1220,19–25
Agnes Scott College,Yes,All / Permanent Policy,"Agnes Scott College offers a test optional policy, which allows students to be considered for admissions without SAT or ACT scores. However, homeschooled students are not eligible for test optional admission.",1625,69.85%,1170–1390,27–31
Washington College,Yes,All / Permanent Policy,"Washington College has a test-optional policy, which allows students to be considered for admissions without submitting SAT or ACT scores. However, homeschooled applicants and internantional applicants are not eligible for test optional admission.",2893,69.86%,1170–1350,27–32
University of Hawaii at Manoa,Yes,"2021, 2022",University of Hawaii has extended their temporary test optional policy to the 2021–22 application cycle.,19612,69.96%,—,—
Hendrix College,Yes,All / Permanent Policy,"Hendrix College has a test optional policy, which allows students to be considered for admission without submitting SAT or ACT scores. However, homeschooled students and international students who are native speakers of English are not eligible for test optional admission.",1628,69.96%,1150–1370,25–31
Texas State University,Yes*,"2021, 2022","Texas State requires either the SAT or the ACT. However, Fall 2022 applicants may apply test-optional if they are in the top 75% of their class. It does not require the optional ACT Writing Test.",31073,69.99%,1000–1170,18–25
Texas Tech University,Yes,"2021, 2022, 2023, 2024, 2025",Texas Tech has extended their temporary test optional policy to the 2025 entry terms.,29131,70.03%,1070–1240,22–27
St. Mary's College of California,Yes,All / Permanent Policy,"St. Mary's offers a test optional policy, which allows students to be considered for admission without test scores. However, student-athletes, homeschooled students, and students attending schools that don't give grades must provide test scores.",3523,70.08%,—,—
University at Buffalo—SUNY,Yes,All / Permanent Policy,"The SUNY system offers a test optional policy, which allows students to apply for admission without SAT or ACT scores.",30750,70.09%,1180–1360,25–31
Augustana College,Yes,All / Permanent Policy,"Augustana College has a test optional policy, which allows students to be considered for admission without submitting SAT or ACT scores. Test optional applicants may be asked to complete an interview. However, homeschooled applicants and international applicants are not eligible for test optional admission.",6640,70.48%,1170–1270,23–30
Louisiana State University—Baton Rouge,Yes*,All / Permanent Policy,"LSU requires SAT or ACT scores, however students who earn at least a 3.0 GPA on core classes or 18 early college credits with a 2.5 GPA may apply without test scores.",36561,70.86%,1130–1300,23–29
Knox College,Yes,All / Permanent Policy,"Knox College offers a test optional policy, which allows students to be considered for admissions without SAT or ACT scores. However, homeschooled students are not eligible for test optional admission.",3038,70.87%,1180–1360,24–31
Randolph-Macon College,Yes,All / Permanent Policy,"Randolph-Macon College offers a test optional policy, which allows students to apply for admission without SAT/ACT scores.",2460,70.89%,1050–1240,21–27
University of San Francisco,Yes,All / Permanent Policy,"University of San Francisco offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores.",22372,70.92%,1200–1370,26–31
St. John Fisher University,Yes,"2021, 2022",St. John Fisher College has adopted a two-year test optional policy beginning with the 2020-21 admission cycle. They will reevaluate their policy after two years.,4515,71.1%,1120–1260,23–29
Auburn University,Yes*,"2021, 2022, 2023","Auburn requires either the SAT or the ACT. However, Fall 2023 applicants with a 3.6+ GPA may apply test-optional. It does not require the optional ACT Writing Test.",27619,71.18%,1180–1330,24–30
Rochester Institute of Technology,Yes,All / Permanent Policy,"Rochester Institute of Technology offers a test optional policy, which allows students applying to most programs to be considered for admission without SAT or ACT scores. Students applying to imaging science, motion picture science, and photographic sciences within the College of Art & Design must still provide test scores",21683,71.2%,1270–1450,29–33
Elmhurst College,Yes,All / Permanent Policy,Elmhurst offers a test optional policy. Students who choose to apply TO will be required to submit an essay.,3762,71.29%,1010–1210,22–29
Whittier College,Yes*,All / Permanent Policy,"Whittier College offers a test optional policy, which allows students to be considered for admission without test scores. Students with a GPA below 3.0 may be asked to submit standardized test scores.",5036,72.28%,1050–1240,21–28
Temple University,Yes,All / Permanent Policy,"Temple University offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. However, home-schooled applicants, recruited student athletes, and international applicants are not eligible for test optional admission.",37571,72.33%,1120–1320,24–31
St. John's University (NY),Yes,All / Permanent Policy,"St. John's University offers a test optional policy, which allows students to be considered for admissions without SAT or ACT scores. However, homeschooled students, some international students, students applying for several specific majors, and prospective student athletes are not eligible for test optional admission.",29059,72.34%,1080–1300,23–29
Gustavus Adolphus College,Yes,All / Permanent Policy,"Gustavus Adolphus College offers a test optional policy, which allows students to be considered for admissions without SAT or ACT scores.",3799,72.57%,—,26–31
Albion College,Yes,"2021, 2022",Albion has extended their temporary test optional policy to the Fall 2022 term.,6864,72.6%,990–1230,19–29
University of Delaware,Yes,"2021, 2022",University of Delaware has extended their temporary test optional policy for all students applying to the Fall 2022 term.,33965,72.66%,1170–1350,26–31
University of Illinois—Chicago,Yes,All / Permanent Policy,"UIC offers a test optional policy, which allows students to apply for admission without SAT/ACT scores.",22696,72.7%,1030–1260,21–28
Taylor University,Yes,All / Permanent Policy,"Taylor University offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. Students who choose not to submit scores may be asked to provide more information or complete proficiency exams.",2037,72.85%,1130–1320,23–30
Drew University,Yes,All / Permanent Policy,"Drew University offers a test optional policy, which allows applicants to be considered for admission without SAT or ACT scores.",3989,73.15%,1120–1300,24–30
University of Minnesota—Twin Cities,Yes,"2021, 2022, 2023, 2024, 2025",University of Minnesota—Twin Cities has extended their temporary test optional policy to the 2025 terms.,35905,73.23%,1320–1470,27–32
High Point University,Yes,All / Permanent Policy,"High Point University offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. However, students seeking some merit scholarship or those who wish to be placed in the Honors Program need to submit test scores.",11298,73.76%,1090–1260,22–28
SUNY—Geneseo,Yes,All / Permanent Policy,"SUNY-Geneseo offers a test optional policy, which allows students to be considered for admission without SAT/ACT scores.",9103,73.85%,1180–1320,25–30
"Rutgers, The State University of New Jersey—Newark",Yes,All / Permanent Policy,"Rutgers—Newark offers a test optional policy, which allows students to apply for admission without SAT or ACT scores.",13506,74.09%,1010–1170,18–23
Kalamazoo College,Yes,All / Permanent Policy,"Kalamazoo College offers a test optional policy, which allows students to be considered for admissions without SAT or ACT scores.",3456,74.33%,1150–1360,25–30
California Lutheran University,Yes,All / Permanent Policy,"California Lutheran University offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. However, homeschooled students are not eligible for test optional admission, and test scores are required to qualify for some merit scholarships.",5568,74.39%,1070–1240,20–27
Clarkson University,Yes,"2021, 2022",Clarkson University has extended their temporary test optional policy to the 2021–22 admission cycle.,6673,74.6%,1160–1350,23–30
Hollins University,Yes,All / Permanent Policy,"Hollins offers a test optional policy, which allows students to apply for admission without SAT/ACT scores.",3093,74.72%,1090–1330,25–30
University of Redlands,Yes,All / Permanent Policy,"University of Redlands offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores.",4713,74.75%,1100–1250,23–28
Lawrence University,Yes,All / Permanent Policy,"Lawrence University offers a test optional policy, which allows students to be considered for admissions without SAT or ACT scores.",2907,74.96%,1230–1460,27–32
Allegheny College,Yes,All / Permanent Policy,"Allegheny College offers a test optional policy, which allows students to be considered for admissions without SAT or ACT scores. However, international students are not eligible for test optional admission.",4667,75.44%,1140–1350,23–28
Presbyterian College (SC),Yes,All / Permanent Policy,"Presbyterian College offers a test optional policy, which allows applicants to be considered for admission without SAT or ACT scores. However, homeschooled students are not eligible for test optional admission.",2141,75.48%,1000–1230,19–26
Butler University,Yes,All / Permanent Policy,"Butler University offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. However, applicants who major in Pre-Pharmacy, Health Sciences, and Healthcare and Business programs, students who attend secondary schools that do not provide letter grades, homeschooled students, and transfer applicants who have completed fewer than 20 college credits are not eligible for test optional admission.",14592,75.69%,1160–1310,25–30
John Brown University,Yes,All / Permanent Policy,"JBU offers a test optional admission policy. However, some international students may be required to submit scores.",1176,75.77%,1060–1260,23–29
Bradley University,Yes,All / Permanent Policy,"Bradley University offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores.",10109,75.86%,1070–1270,24–30
College of Charleston,Yes,"2021, 2022, 2023",The College of Charleston has extended their temporary test optional policy to the 2022–23 admissions cycle.,20484,76.11%,1110–1260,23–29
Mississippi State University,Yes,"2021, 2022",Mississippi State has extended their temporary test optional policy to the 2021–22 admission cycle.,17707,76.12%,1030–1280,21–30
Gonzaga University,Yes,All / Permanent Policy,"Gonzaga University offers a test optional policy, which allows students to be considered for admission without test scores.",8853,76.15%,1230–1378,27–31
Centre College,Yes,"2021, 2022, 2023","Centre College has adopted a three-year, test optional policy for first year students beginning with the 2020-21 admission cycle. After a three-year pilot period, Centre will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.",2212,76.4%,1130–1380,26–32
University of Rhode Island,Yes,"2021, 2022, 2023",University of Rhode Island has extended their temporary test optional policy to the 2022 and 2023 admission cycles.,25105,76.46%,1130–1280,25–30
California State University—Los Angeles,Yes (TF),All / Permanent Policy,"The Cal State system offers a test free policy, meaning they will not consider SAT or ACT scores in the admissions process.",31442,76.48%,890–1060,15–20
University of Missouri,Yes,"2021, 2022, 2023, 2024",Mizzou has extended their temporary test optional policy to the Fall 2024 term.,19966,76.55%,1130–1350,23–30
Creighton University,Yes,All / Permanent Policy,"Creighton offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. However, applicants to the nursing program and homeschooled students are not eligible for test optional admission.",8681,76.63%,1155–1320,24–30
Adelphi University,Yes,"2021, 2022, 2023",Adelphi University has extended their temporary test optional policy to the 2022–23 admissions cycle.,16116,77%,1080–1270,22–27
Central Michigan University,Yes,"2021, 2022, 2023","CMU has extended their temporary test optional policy to the Fall 2023 semester. However, homeschooled students or students whose high schools do not provide grades are not eligible for TO admission.",18517,77.08%,1010–1223,20–26
Wheaton College (MA),Yes,All / Permanent Policy,"Wheaton College offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. However, Wheaton encourages students whose first language is not English to submit their SAT or ACT scores along with the required English proficiency testing.",3580,77.09%,1180–1340,25–31
Berry College,Yes,All / Permanent Policy,"Berry College offers a test optional policy, which allows students to apply without standardized test scores.",4167,77.2%,1100–1270,24–30
St. Mary's College of Maryland,Yes,All / Permanent Policy,"Saint Mary's College of Maryland has a test-optional policy, which allows students to be considered for admission without submitting SAT or ACT scores. However, homeschooled applicants and applicants with non-traditional academic transcripts are not eligible for test optional admission.",2872,77.33%,1140–1330,26–32
Elon University,Yes,"2021, 2022, 2023","Elon has adopted a three-year, test optional policy for all first-year and transfer applicants, beginning with the 2020-21 admission cycle. After a three-year period, Elon will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.",17834,77.71%,1175–1330,25–30
Ithaca College,Yes,All / Permanent Policy,"Ithaca College offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. However, homeschooled students are not eligible for test optional admission.",13445,77.73%,1210–1330,27–31
Mercer University,Yes,"2021, 2022, 2023","Mercer University has adopted a three-year test optional policy. After Fall 2023, they will reevaluate.",5651,78.16%,1170–1330,25–31
Seton Hall University,Yes,"2021, 2022, 2023, 2024, 2025, 2026",Seton Hall has extended their temporary test optional policy to the Fall 2026 term.,20830,78.23%,1150–1300,24–29
Loyola University New Orleans,Yes (TF),All / Permanent Policy,"Starting with the Fall 2021 application cycle, Loyola will not require a standardized test score for its university admission application and will not consider a test score, should a student choose to submit.",7455,78.27%,—,—
Carroll College,Yes*,All / Permanent Policy,"Carroll College requires either the SAT or ACT, however it will waive this requirement for students with a 3.0+ unweighted GPA. Students who are homeschooled, wish to apply to Direct Entry Nursing, or wish to participate in intercollegiate atheletics are not elligible for test optional admission. It does not require the optional ACT Writing Test.",2709,78.33%,1070–1270,22–28
Northern Arizona University,Yes,All / Permanent Policy,"Northern Arizona University offers a test optional policy, which allows first-year applicants to be considered for admission without SAT or ACT scores. However, scores required to receive merit-based scholarships.",42872,78.35%,1070–1260,19–26
Hanover College,Yes,All / Permanent Policy,"Hanover College offers a test optional policy, which allows applicants to be considered for admission without SAT or ACT scores.",2263,78.57%,1070–1220,23–29
University of Alabama,Yes,"2021, 2022, 2023",Bama has extended their temporary test optional policy to the Fall 2023 term.,42421,78.9%,1080–1370,21–31
Westmont College,Yes,"2021, 2022",Westmont College has extended their temporary test optional policy to the 2021–22 application cycle.,2351,78.95%,1160–1460,26–31
Baldwin Wallace University,Yes,All / Permanent Policy,"Baldwin Wallace University offers a test optional policy, which allows students to be considered for admission without test scores. However, home schooled students are not eligible for test optional admission.",4250,79.01%,1050–1235,21–27
University of the Pacific,Yes,All / Permanent Policy,"University of the Pacific offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores.",10901,79.3%,1120–1380,24–32
Willamette University,Yes,All / Permanent Policy,"Willamette University offers a test optional policy, which allows students to be considered for admissions without SAT or ACT scores.",3680,79.38%,1200–1400,32–35
Lewis & Clark College,Yes,All / Permanent Policy,"Lewis and Clark offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. Prior to the 2020-21 admission cycle, students who chose not to submit standardized test scores had to submit an academic portfolio in lieu of scores. However, students will no longer be required to submit a portfolio.",5519,79.45%,1250–1410,27–32
Appalachian State University,Yes,"2021, 2022, 2023, 2024",The UNC System has reinstated their temporary test optional policy through Fall 2024.,18178,79.51%,1180–1220,22–27
University of Colorado—Boulder,Yes,All / Permanent Policy,University of Colorado—Boulder offers a test optional admission policy.,54756,79.58%,1180–1380,25–31
University of North Carolina—Charlotte,Yes,"2021, 2022, 2023, 2024",The UNC System has reinstated their temporary test optional policy through Fall 2024.,20365,79.6%,1140–1300,21–26
Indiana University—Bloomington,Yes,All / Permanent Policy,"Indiana University—Bloomington offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. However, homeschooled students and students who attend schools with nontraditional grading systems are not eligible for test optional admission.",46000,80%,1200–1400,27–32
University of North Georgia,Yes*,"2022, 2023, 2024","The University System of Georgia has announced that all institutions will resume test score admission requirements beginning with the Spring semester of 2022. Any student applying to a University System of Georgia school in 2022 and beyond will have to submit an SAT or ACT test score. However, students applying to UNG with a 3.0+ GPA may be considered without scores.",7748,80.24%,1050–1220,20–26
"University of Texas, Rio Grande Valley",Yes,"2021, 2022, 2023",UTRGV has extended their temporary test optional policy to the 2022–23 admission cycle.,12097,80.41%,950–1120,17–22
University of Dayton,Yes,All / Permanent Policy,"The University of Dayton offers a test optional policy, which allows students to be considered for admission without SAT/ACT scores.",17262,80.63%,1130–1350,22–29
